class_label,grid_id,center_latitude,center_longitude,latitude_range,longitude_range
0,Grid_0_0,-88.59375,-177.1875,"(-90.0, -87.1875)","(-180.0, -174.375)"
1,Grid_0_1,-88.59375,-171.5625,"(-90.0, -87.1875)","(-174.375, -168.75)"
2,Grid_0_2,-88.59375,-165.9375,"(-90.0, -87.1875)","(-168.75, -163.125)"
3,Grid_0_3,-88.59375,-160.3125,"(-90.0, -87.1875)","(-163.125, -157.5)"
4,Grid_0_4,-88.59375,-154.6875,"(-90.0, -87.1875)","(-157.5, -151.875)"
5,Grid_0_5,-88.59375,-149.0625,"(-90.0, -87.1875)","(-151.875, -146.25)"
6,Grid_0_6,-88.59375,-143.4375,"(-90.0, -87.1875)","(-146.25, -140.625)"
7,Grid_0_7,-88.59375,-137.8125,"(-90.0, -87.1875)","(-140.625, -135.0)"
8,Grid_0_8,-88.59375,-132.1875,"(-90.0, -87.1875)","(-135.0, -129.375)"
9,Grid_0_9,-88.59375,-126.5625,"(-90.0, -87.1875)","(-129.375, -123.75)"
10,Grid_0_10,-88.59375,-120.9375,"(-90.0, -87.1875)","(-123.75, -118.125)"
11,Grid_0_11,-88.59375,-115.3125,"(-90.0, -87.1875)","(-118.125, -112.5)"
12,Grid_0_12,-88.59375,-109.6875,"(-90.0, -87.1875)","(-112.5, -106.875)"
13,Grid_0_13,-88.59375,-104.0625,"(-90.0, -87.1875)","(-106.875, -101.25)"
14,Grid_0_14,-88.59375,-98.4375,"(-90.0, -87.1875)","(-101.25, -95.625)"
15,Grid_0_15,-88.59375,-92.8125,"(-90.0, -87.1875)","(-95.625, -90.0)"
16,Grid_0_16,-88.59375,-87.1875,"(-90.0, -87.1875)","(-90.0, -84.375)"
17,Grid_0_17,-88.59375,-81.5625,"(-90.0, -87.1875)","(-84.375, -78.75)"
18,Grid_0_18,-88.59375,-75.9375,"(-90.0, -87.1875)","(-78.75, -73.125)"
19,Grid_0_19,-88.59375,-70.3125,"(-90.0, -87.1875)","(-73.125, -67.5)"
20,Grid_0_20,-88.59375,-64.6875,"(-90.0, -87.1875)","(-67.5, -61.875)"
21,Grid_0_21,-88.59375,-59.0625,"(-90.0, -87.1875)","(-61.875, -56.25)"
22,Grid_0_22,-88.59375,-53.4375,"(-90.0, -87.1875)","(-56.25, -50.625)"
23,Grid_0_23,-88.59375,-47.8125,"(-90.0, -87.1875)","(-50.625, -45.0)"
24,Grid_0_24,-88.59375,-42.1875,"(-90.0, -87.1875)","(-45.0, -39.375)"
25,Grid_0_25,-88.59375,-36.5625,"(-90.0, -87.1875)","(-39.375, -33.75)"
26,Grid_0_26,-88.59375,-30.9375,"(-90.0, -87.1875)","(-33.75, -28.125)"
27,Grid_0_27,-88.59375,-25.3125,"(-90.0, -87.1875)","(-28.125, -22.5)"
