class_label,grid_id,center_latitude,center_longitude,latitude_range,longitude_range
0,Grid_0_0,-87.1875,-174.375,"(-90.0, -84.375)","(-180.0, -168.75)"
1,Grid_0_1,-87.1875,-163.125,"(-90.0, -84.375)","(-168.75, -157.5)"
2,Grid_0_2,-87.1875,-151.875,"(-90.0, -84.375)","(-157.5, -146.25)"
3,Grid_0_3,-87.1875,-140.625,"(-90.0, -84.375)","(-146.25, -135.0)"
4,Grid_0_4,-87.1875,-129.375,"(-90.0, -84.375)","(-135.0, -123.75)"
5,Grid_0_5,-87.1875,-118.125,"(-90.0, -84.375)","(-123.75, -112.5)"
6,Grid_0_6,-87.1875,-106.875,"(-90.0, -84.375)","(-112.5, -101.25)"
7,Grid_0_7,-87.1875,-95.625,"(-90.0, -84.375)","(-101.25, -90.0)"
8,Grid_0_8,-87.1875,-84.375,"(-90.0, -84.375)","(-90.0, -78.75)"
9,Grid_0_9,-87.1875,-73.125,"(-90.0, -84.375)","(-78.75, -67.5)"
10,Grid_0_10,-87.1875,-61.875,"(-90.0, -84.375)","(-67.5, -56.25)"
11,Grid_0_11,-87.1875,-50.625,"(-90.0, -84.375)","(-56.25, -45.0)"
12,Grid_0_12,-87.1875,-39.375,"(-90.0, -84.375)","(-45.0, -33.75)"
13,Grid_0_13,-87.1875,-28.125,"(-90.0, -84.375)","(-33.75, -22.5)"
14,Grid_0_14,-87.1875,-16.875,"(-90.0, -84.375)","(-22.5, -11.25)"
15,Grid_0_15,-87.1875,-5.625,"(-90.0, -84.375)","(-11.25, 0.0)"
16,Grid_0_16,-87.1875,5.625,"(-90.0, -84.375)","(0.0, 11.25)"
17,Grid_0_17,-87.1875,16.875,"(-90.0, -84.375)","(11.25, 22.5)"
18,Grid_0_18,-87.1875,28.125,"(-90.0, -84.375)","(22.5, 33.75)"
19,Grid_0_19,-87.1875,39.375,"(-90.0, -84.375)","(33.75, 45.0)"
20,Grid_0_20,-87.1875,50.625,"(-90.0, -84.375)","(45.0, 56.25)"
21,Grid_0_21,-87.1875,61.875,"(-90.0, -84.375)","(56.25, 67.5)"
22,Grid_0_22,-87.1875,73.125,"(-90.0, -84.375)","(67.5, 78.75)"
23,Grid_0_23,-87.1875,84.375,"(-90.0, -84.375)","(78.75, 90.0)"
24,Grid_0_24,-87.1875,95.625,"(-90.0, -84.375)","(90.0, 101.25)"
25,Grid_0_25,-87.1875,106.875,"(-90.0, -84.375)","(101.25, 112.5)"
26,Grid_0_26,-87.1875,118.125,"(-90.0, -84.375)","(112.5, 123.75)"
27,Grid_0_27,-87.1875,129.375,"(-90.0, -84.375)","(123.75, 135.0)"
